species,current_mean,current_max,future_mean,future_max,continuing_threat,avg_threat,threat_change,threat_change_pct,n_cells,error,threat_category
"1315155_Formica_neorufibarbis_Emery,_1893",0.6987098976102262,0.9999974370002747,0.8080374603531613,0.9999998807907104,0.6987098976102262,0.7533736789816937,0.10932756274293509,15.64706083552909,35494,NA,High
"1315095_Formica_aserva_Forel,_1901",0.5549573926535469,0.9987780451774597,0.5072903010616081,0.997847318649292,0.5072903010616081,0.5311238468575775,-0.047667091591938826,-8.589324554091814,35494,NA,High
"1316764_Myrmecocystus_navajo_Wheeler,_1908",0.2766343953210456,0.9993196725845337,0.2992317437216129,0.9994952082633972,0.2766343953210456,0.28793306952132924,0.022597348400567263,8.168669110846505,35494,NA,Moderate
"1314773_Monomorium_pharaonis_(Linnaeus,_1758)",0.2633481105825505,1,0.3659359480137501,1,0.2633481105825505,0.3146420292981503,0.10258783743119965,38.95522060297521,34095,NA,Moderate
"1315111_Formica_japonica_Motschoulsky,_1866",0.2261458473429652,1,0.27769442170456765,1,0.2261458473429652,0.25192013452376644,0.051548574361602456,22.794393515183863,35494,NA,Moderate
"1316350_Messor_aciculatus_(Smith,_1874)",0.21790700421610426,0.9989100098609924,0.23934524489714723,0.9995521306991577,0.21790700421610426,0.22862612455662573,0.02143824068104297,9.83825222055831,35494,NA,Moderate
"1316250_Notoncus_ectatommoides_(Forel,_1892)",0.21119114936233688,0.8282724022865295,0.20518987840500183,0.8132236003875732,0.20518987840500183,0.20819051388366935,-0.0060012709573350476,-2.8416299525122497,36996,NA,Moderate
"1315021_Formica_adamsi_Wheeler,_1909",0.21581454136868308,1,0.1998285173426591,0.9999159574508667,0.1998285173426591,0.2078215293556711,-0.015986024026023976,-7.40729698964748,34440,NA,Moderate
"1312899_Camponotus_sanctus_Forel,_1904",0.1851882426972221,0.8991422057151794,0.1936397690056177,0.9040181636810303,0.1851882426972221,0.18941400585141988,0.008451526308395602,4.56374885646149,35494,NA,Moderate
"1314869_Formica_obscuripes_Forel,_1886",0.18972179596539832,0.996192216873169,0.17504662986769773,0.9930636286735535,0.17504662986769773,0.18238421291654802,-0.014675166097700587,-7.735097605958286,34169,NA,Moderate
"1315077_Formica_ulkei_Emery,_1893",0.17169767077372866,0.9970979690551758,0.20949432664761197,0.9965136647224426,0.17169767077372866,0.19059599871067032,0.03779665587388331,22.01349366217876,36996,NA,Moderate
"1315165_Formica_neogagates_Viereck,_1903",0.16118261755100155,0.9535714387893677,0.2645693676422309,0.9839493632316589,0.16118261755100155,0.21287599259661621,0.10338675009122933,64.14261764828059,34169,NA,Moderate
"1316765_Myrmecocystus_romainei_Snelling,_1975",0.1330148188907677,0.87356036901474,0.20334417334051494,0.9748846292495728,0.1330148188907677,0.1681794961156413,0.07032935444974725,52.8733227141421,34500,NA,Moderate
"1315056_Formica_pacifica_Francoeur,_1973",0.11783138128668182,0.9313101172447205,0.10777155761130014,0.9382359981536865,0.10777155761130014,0.11280146944899097,-0.010059823675381677,-8.537474113883373,33784,NA,Moderate
"1316032_Aphaenogaster_treatae_Forel,_1886",0.07918203103164353,1,0.14841648285162212,1,0.07918203103164353,0.11379925694163283,0.06923445181997859,87.43707494988404,34500,NA,Low
"1316434_Messor_minor_(Andre,_1883)",0.07706528502329778,1,0.13153089505708446,1,0.07706528502329778,0.10429809004019111,0.05446561003378668,70.6746364687045,34500,NA,Low
"1314900_Formica_ravida_Creighton,_1940",0.07067896504308317,0.887843668460846,0.07656562029054027,0.8835018277168274,0.07067896504308317,0.07362229266681172,0.005886655247457101,8.328723042094381,34440,NA,Low
"1316805_Tapinoma_melanocephalum_(Fabricius,_1793)",0.06894022150027208,1,0.08985711738689514,1,0.06894022150027208,0.07939866944358362,0.020916895886623058,30.340627621192812,34095,NA,Low
"1316753_Myrmecocystus_mexicanus_Wesmael,_1838",0.06140431129532962,0.556880533695221,0.09766978209086448,0.6882848739624023,0.06140431129532962,0.07953704669309705,0.03626547079553486,59.06013768497913,33784,NA,Low
"1315076_Formica_clara_Forel,_1886",0.0579014545654434,0.9996334314346313,0.06276936799782575,0.9995795488357544,0.0579014545654434,0.06033541128163457,0.004867913432382347,8.40723858997422,35494,NA,Low
"1316082_Aphaenogaster_fulva_Roger,_1863",0.053649158730019374,0.9648177027702332,0.12385362786733325,0.9998929500579834,0.053649158730019374,0.08875139329867632,0.07020446913731387,130.85847159431967,34169,NA,Low
"1314922_Formica_dakotensis_Emery,_1893",0.053502687379637405,0.989313542842865,0.08507078283537753,0.994140625,0.053502687379637405,0.06928673510750746,0.031568095455740124,59.00282210451101,33772,NA,Low
"1316744_Myrmecocystus_mimicus_Wheeler,_1908",0.04668297927342345,0.42965126037597656,0.06416776395897775,0.6414936184883118,0.04668297927342345,0.0554253716162006,0.017484784685554297,37.45430338356395,33772,NA,Low
"1316087_Aphaenogaster_occidentalis_(Emery,_1895)",0.03715156810813709,0.9569936394691467,0.04679408051021704,0.9219136834144592,0.03715156810813709,0.041972824309177065,0.009642512402079945,25.954523303063485,36996,NA,Low
"1314848_Formica_podzolica_Francoeur,_1973",0.031691433697011606,0.8641740679740906,0.04129625321891726,0.929254412651062,0.031691433697011606,0.03649384345796443,0.009604819521905651,30.307305165595437,35494,NA,Low
"1316800_Tapinoma_erraticum_(Latreille,_1798)",0.03127369429655853,0.7495365738868713,0.039020145724542106,0.7180156111717224,0.03127369429655853,0.03514692001055032,0.007746451427983574,24.769863625724643,33784,NA,Low
"1317320_Brachymyrmex_patagonicus_Mayr,_1868",0.02955421617905373,0.30750852823257446,0.04124383279897839,0.39899706840515137,0.02955421617905373,0.035399024489016065,0.01168961661992466,39.55312686725749,36996,NA,Low
"1314580_Monomorium_minimum_(Buckley,_1867)",0.027860707957331306,0.3014514446258545,0.046523178412669265,0.4371214509010315,0.027860707957331306,0.037191943185000284,0.01866247045533796,66.98491109385859,34500,NA,Low
"1314398_Leptomyrmex_erythrocephalus_(Fabricius,_1775)",0.027122415473682313,0.9901357889175415,0.04914174421070708,0.9980773329734802,0.027122415473682313,0.038132079842194695,0.022019328737024765,81.18498427395147,35494,NA,Low
"1315738_Pristomyrmex_punctatus_(Smith,_1860)",0.02517096169837228,0.9991275668144226,0.026313003287819544,0.9976311922073364,0.02517096169837228,0.02574198249309591,0.0011420415894472652,4.537139276331731,34440,NA,Low
"1316799_Tapinoma_sessile_(Say,_1836)",0.02304589290514601,0.9995711445808411,0.039193150120136154,0.9999480247497559,0.02304589290514601,0.03111952151264108,0.016147257214990145,70.06566107657542,34095,NA,Low
"1316743_Myrmecocystus_melliger_Forel,_1886",0.021688994594233825,0.41312769055366516,0.028661083210845695,0.47549229860305786,0.021688994594233825,0.025175038902539762,0.0069720886166118705,32.145743714950484,35494,NA,Low
"1315947_Aphaenogaster_tennesseensis_(Mayr,_1862)",0.019724509369396452,0.6053625345230103,0.022267981267113286,0.6311507225036621,0.019724509369396452,0.02099624531825487,0.0025434718977168334,12.894981822276176,36996,NA,Low
"1315150_Formica_integra_Nylander,_1856",0.018915405010589786,0.4709598124027252,0.04072112464579239,0.7615293860435486,0.018915405010589786,0.02981826482819109,0.021805719635202604,115.28021537468891,34500,NA,Low
"1314552_Monomorium_ergatogyna_Wheeler,_1904",0.017654005071351533,0.7697271704673767,0.023036934639092035,0.8866543173789978,0.017654005071351533,0.020345469855221784,0.005382929567740502,30.49126555693463,36996,NA,Low
"1314429_Monomorium_carbonarium_(Smith,_1858)",0.01702987158381663,0.5416922569274902,0.03775841993896782,0.7879087328910828,0.01702987158381663,0.027394145761392225,0.020728548355151193,121.71875902369922,35494,NA,Low
"1316058_Aphaenogaster_iberica_Emery,_1908",0.15609217818552318,0.9836922287940979,0.014858904003508429,0.7593855261802673,0.014858904003508429,0.0854755410945158,-0.14123327418201476,-90.48068636351023,52474,NA,Low
"1314699_Monomorium_floricola_(Jerdon,_1851)",0.013411460752586072,0.33644595742225647,0.019963656942107597,0.4593760073184967,0.013411460752586072,0.016687558847346833,0.006552196189521525,48.85520160999684,34169,NA,Low
"1315963_Aphaenogaster_longiceps_(Smith,_1858)",0.013172059516008312,0.529317319393158,0.030894353645322673,0.641836404800415,0.013172059516008312,0.022033206580665494,0.01772229412931436,134.5445950025965,34500,NA,Low
"1317341_Brachymyrmex_depilis_Emery,_1893",0.011384384640706497,0.9750272035598755,0.019936876007316928,0.9848805069923401,0.011384384640706497,0.01566063032401171,0.00855249136661043,75.1247576090303,34095,NA,Low
"1315915_Aphaenogaster_spinosa_Emery,_1878",0.011049657604715697,0.999833345413208,0.01823732569312214,0.9999849796295166,0.011049657604715697,0.01464349164891892,0.007187668088406445,65.04878563240676,34169,NA,Low
"1316070_Aphaenogaster_subterranea_(Latreille,_1798)",0.008828530830765267,0.27160850167274475,0.016788292187130564,0.45944735407829285,0.008828530830765267,0.012808411508947916,0.007959761356365298,90.15952380918782,34500,NA,Minimal
"1314445_Monomorium_subopacum_(Smith,_1858)",0.007197302265075733,0.14979079365730286,0.012826094077456402,0.2401839643716812,0.007197302265075733,0.010011698171266067,0.005628791812380669,78.20696707006289,36996,NA,Minimal
"1312486_Camponotus_cruentatus_(Latreille,_1802)",0.007022075563457516,0.14382322132587433,0.015082897908072847,0.2719375789165497,0.007022075563457516,0.011052486735765182,0.008060822344615332,114.79258905391727,36996,NA,Minimal
"1314963_Formica_subsericea_Say,_1836",0.006807918800058519,0.8297520875930786,0.021591968878181537,0.9993465542793274,0.006807918800058519,0.014199943839120028,0.014784050078123018,217.15961239132199,34169,NA,Minimal
"1316520_Messor_structor_(Latreille,_1798)",0.005364356286965631,0.11129450798034668,0.008283038331175281,0.22559112310409546,0.005364356286965631,0.006823697309070456,0.0029186820442096504,54.408802996577506,34500,NA,Minimal
"1316075_Aphaenogaster_senilis_Mayr,_1853",0.00512854072636058,0.362379252910614,0.007381008899208089,0.48058414459228516,0.00512854072636058,0.006254774812784334,0.0022524681728475085,43.920255156985974,35494,NA,Minimal
"1313104_Camponotus_aethiops_(Latreille,_1798)",0.004595818227700715,0.3520914912223816,0.009770213863604348,0.6018326282501221,0.004595818227700715,0.007183016045652531,0.005174395635903633,112.58921435829676,33784,NA,Minimal
"1312649_Camponotus_fallax_(Nylander,_1856)",0.004573744234040604,0.6084833145141602,0.016400689152167764,0.9943457841873169,0.004573744234040604,0.010487216693104184,0.01182694491812716,258.58343433600413,35494,NA,Minimal
"1316755_Myrmecocystus_placodops_Forel,_1908",0.004309377550268055,0.15975742042064667,0.010773835320226912,0.391245573759079,0.004309377550268055,0.007541606435247483,0.006464457769958857,150.00908355214202,34440,NA,Minimal
"1313954_Camponotus_truncatus_(Spinola,_1808)",0.003840713397958735,0.17517565190792084,0.009931352425557293,0.41057610511779785,0.003840713397958735,0.006886032911758014,0.006090639027598559,158.58093006459728,35494,NA,Minimal
"1315873_Aphaenogaster_floridana_Smith,_1941",0.003695783527388509,0.0388888418674469,0.005058130289318902,0.053230803459882736,0.003695783527388509,0.004376956908353706,0.0013623467619303933,36.862190434975126,34500,NA,Minimal
"1315043_Formica_pallidefulva_Latreille,_1802",0.00340953219728964,0.14792674779891968,0.008079966770508994,0.3079720139503479,0.00340953219728964,0.005744749483899317,0.004670434573219354,136.98168261710654,33784,NA,Minimal
"1316376_Messor_barbarus_(Linnaeus,_1767)",0.003295850876764902,0.9875378608703613,0.008322595673504914,0.9928351044654846,0.003295850876764902,0.0058092232751349076,0.005026744796740012,152.51736151588565,35494,NA,Minimal
"1314898_Formica_montana_Wheeler,_1910",0.002864656514751128,0.6108031868934631,0.0060940004887739384,0.7902829051017761,0.002864656514751128,0.004479328501762534,0.0032293439740228103,112.73058244134253,35494,NA,Minimal
"1312835_Camponotus_piceus_(Leach,_1825)",0.0028524207653688317,0.07191912829875946,0.005230245940291215,0.14885419607162476,0.0028524207653688317,0.004041333352830023,0.0023778251749223835,83.36165560815917,34500,NA,Minimal
"1314949_Formica_perpilosa_Wheeler,_1913",0.003034654034485351,0.058015160262584686,0.0027492292095043585,0.054982710629701614,0.0027492292095043585,0.002891941621994855,-2.8542482498099264e-4,-9.405514491519229,36996,NA,Minimal
"1316759_Myrmecocystus_testaceus_Emery,_1893",0.002711374032573853,0.7329381704330444,0.0027268729518063572,0.7485042214393616,0.002711374032573853,0.002719123492190105,1.5498919232504425e-5,0.5716260112512627,33784,NA,Minimal
"1316357_Messor_wasmanni_Krausse,_1910",0.002672893530483324,0.10182586312294006,0.0063344951054022216,0.199072927236557,0.002672893530483324,0.004503694317942773,0.0036616015749188977,136.99017686861592,33784,NA,Minimal
"1316496_Messor_bouvieri_Bondroit,_1918",0.0025465858701652073,0.6769006252288818,0.007914261341655855,0.8884320259094238,0.0025465858701652073,0.0052304236059105315,0.0053676754714906474,210.77928431066118,36996,NA,Minimal
"1316766_Myrmecocystus_depilis_Forel,_1901",0.002233780312323284,0.021482722833752632,0.003552712206266267,0.032706741243600845,0.002233780312323284,0.0028932462592947752,0.0013189318939429832,59.04483474344906,34169,NA,Minimal
"1313121_Camponotus_sylvaticus_(Olivier,_1792)",0.002325110115005805,0.1317036896944046,0.0018118844991051363,0.07542544603347778,0.0018118844991051363,0.0020684973070554703,-5.132256159006685e-4,-22.073174624651582,34500,NA,Minimal
"1315174_Formica_gagates_Latreille,_1798",0.001588115621420568,0.0703650712966919,0.0026968078946605365,0.1649242788553238,0.001588115621420568,0.0021424617580405522,0.0011086922732399685,69.81181082069102,34500,NA,Minimal
"1316246_Notoncus_capitatus_Forel,_1915",0.0014498713056592825,0.10008048266172409,0.0029163028394078683,0.16136200726032257,0.0014498713056592825,0.0021830870725335753,0.0014664315337485857,101.14218607021628,34500,NA,Minimal
"1314975_Formica_subrufa_Roger,_1859",0.001335351476753645,0.07651866972446442,0.0013566760034369944,0.07814601808786392,0.001335351476753645,0.0013460137400953197,2.132452668334936e-5,1.5969223874444747,34440,NA,Minimal
"1315972_Aphaenogaster_gibbosa_(Latreille,_1798)",0.0013256091704028706,0.05189903452992439,0.001955998782889221,0.0775625929236412,0.0013256091704028706,0.0016408039766460459,6.303896124863503e-4,47.55471118948026,34500,NA,Minimal
"1316497_Messor_pergandei_(Mayr,_1886)",0.0010672321656937612,0.3086260259151459,0.0016877807294289802,0.5096604228019714,0.0010672321656937612,0.0013775064475613707,6.205485637352189e-4,58.14560164908704,33772,NA,Minimal
"1315910_Aphaenogaster_texana_Wheeler,_1915",8.604007468852197e-4,0.1554126739501953,0.002447792649373328,0.43335750699043274,8.604007468852197e-4,0.0016540966981292739,0.0015873919024881082,184.494482162493,34169,NA,Minimal
"1316432_Messor_capitatus_(Latreille,_1798)",6.851926034831576e-4,0.036651622503995895,0.0017893675132601473,0.11206711828708649,6.851926034831576e-4,0.0012372800583716525,0.0011041749097769897,161.14810699414255,34500,NA,Minimal
"1312698_Camponotus_lateralis_(Olivier,_1792)",6.104635786887377e-4,0.026115035638213158,0.002160953106558433,0.09326504170894623,6.104635786887377e-4,0.0013857083426235851,0.0015504895278696952,253.9855909504237,36996,NA,Minimal
